370	235	1479	255	377145	0	0
72	1598	1990	575	1144250	1	1
493	2095	1370	218	298660	1	1
0	0	2375	3251	7721125	0	0
1561	64	4	189	756	0	0
51	180	2064	980	2022720	0	0
1807	80	86	19	1634	0	0
51	70	1514	431	652534	0	0
594	86	1232	199	245168	0	0
512	221	1351	229	309379	0	0
712	120	105	253	26565	0	0
712	177	7	3	21	0	0
837	94	315	46	14490	0	0
643	249	3	124	372	0	0
950	430	615	49	30135	0	0
24	1116	2140	1968	4211520	0	0
796	1008	473	241	113993	1	0
1294	1075	21	28	588	0	0
51	1160	839	39	32721	0	0
1186	1188	49	48	2352	1	0
267	1824	1693	162	274266	1	1
389	1959	381	58	22098	0	0
629	2021	958	116	111128	0	1
552	2905	1073	103	110519	0	0
340	149	623	118	73514	0	0
382	351	942	475	447450	0	1
1131	780	242	41	9922	0	0
730	784	796	389	309644	1	0
1001	788	25	36	900	1	0
1215	1085	249	187	46563	1	0
36	1136	1604	1432	2296928	0	0
687	545	745	351	261495	1	1
715	719	728	420	305760	1	1
135	1991	501	112	56112	0	0
14	2105	688	329	226352	0	0
0	0	1630	2683	4373290	1	0
338	1619	1284	345	442980	1	1
332	1981	1010	332	335320	1	1
321	2399	1142	359	409978	0	1
0	189	2184	2938	6416592	1	0
166	3013	593	161	95473	0	0
0	3054	2184	72	157248	0	0
1081	3063	241	118	28438	0	0
1152	3160	633	28	17724	0	0
806	3027	348	166	57768	0	0
947	3144	196	28	5488	0	0
579	271	1078	136	146608	0	0
386	478	1563	108	168804	0	1
205	486	1852	612	1133424	0	1
499	1181	1290	275	354750	0	1
602	1430	1083	294	318402	1	1
596	1781	1025	378	387450	1	1
675	2916	861	99	85239	0	0
0	0	2275	3343	7605325	1	0
746	281	1339	142	190138	0	0
0	0	404	532	214928	0	0
337	458	1932	329	635628	0	0
316	1073	1956	713	1394628	1	1
81	1798	2179	223	485917	1	1
1457	2085	821	126	103446	1	0
484	3550	2120	285	604200	0	0
466	3471	566	170	96220	0	0
236	3482	210	150	31500	0	0
0	0	588	89	52332	0	0
441	175	1522	108	164376	0	0
476	238	1271	172	218612	0	0
1395	589	232	81	18792	0	0
539	587	813	120	97560	0	0
395	717	1498	428	641144	1	1
81	1237	1684	121	203764	1	0
394	958	1	214	214	0	0
50	1428	1479	1248	1845792	1	0
519	2538	1253	124	155372	0	0
2055	1471	116	1124	130384	0	0
41	166	1708	189	322812	0	0
27	462	1809	954	1725786	1	1
1374	1263	443	77	34111	1	0
722	2558	952	168	159936	1	0
0	2412	294	438	128772	0	0
596	459	524	66	34584	0	0
434	1127	1380	293	404340	1	1
395	1401	1421	474	673554	1	1
1278	2043	163	21	3423	0	0
753	2102	1126	470	529220	0	0
599	2926	1157	124	143468	0	0
0	0	2267	3279	7433493	0	0
0	2976	627	111	69597	0	0
102	5	1136	61	69296	0	0
97	1074	12	129	1548	0	0
86	1209	21	380	7980	0	0
108	2640	154	131	20174	0	0
778	260	964	146	140744	0	0
719	469	920	185	170200	0	0
353	2073	539	139	74921	1	0
348	2248	1323	474	627102	0	1
1325	2248	1	210	210	1	0
770	2976	30	39	1170	0	0
575	2937	1210	120	145200	0	0
1239	0	1016	228	231648	0	0
0	762	2402	2601	6247602	1	0
1760	2302	206	374	77044	0	0
2282	2462	11	192	2112	0	0
417	118	1266	212	268392	0	0
21	248	13	308	4004	0	0
700	515	641	103	66023	0	0
250	685	1546	338	522548	1	1
1098	1183	659	115	75785	1	0
24	807	14	294	4116	0	0
26	1180	10	198	1980	0	0
735	2395	896	112	100352	0	0
24	1526	1902	1205	2291910	1	0
0	0	404	80	32320	0	0
269	244	1538	159	244542	0	0
533	407	1263	269	339747	0	0
599	838	819	127	104013	0	0
404	1002	1207	219	264333	0	1
760	1226	857	42	35994	1	0
401	1241	319	24	7656	0	0
1277	1299	84	42	3528	1	0
292	1339	1253	273	342069	1	1
1433	1336	350	213	74550	0	0
0	1730	2132	1572	3351504	0	0
0	415	216	1846	398736	0	0
76	34	1357	251	340607	0	0
309	316	72	33	2376	0	0
197	475	695	174	120930	0	0
221	625	1184	358	423872	1	1
600	947	445	58	25810	0	0
409	989	696	223	155208	1	0
560	1101	816	130	106080	0	0
597	1211	283	21	5943	1	0
480	1236	666	798	531468	0	0
326	2071	968	123	119064	0	0
85	45	1528	50	76400	0	0
514	150	1097	156	171132	0	0
264	347	1296	49	63504	0	0
200	451	820	249	204180	0	1
236	644	1172	260	304720	0	1
477	870	635	70	44450	1	0
431	893	1181	240	283440	1	0
504	1102	659	92	60628	1	0
0	430	247	1841	454727	0	0
590	1160	1028	452	464656	0	0
498	1220	1174	975	1144650	0	0
375	2055	961	125	120125	0	0
34	84	770	2348	1807960	1	0
700	264	7	4	28	0	0
541	299	1072	161	172592	0	0
632	531	862	169	145678	0	0
1304	1842	386	198	76428	1	0
337	1930	1467	824	1208808	1	1
513	2864	1143	153	174879	0	0
0	3068	232	122	28304	0	0
0	0	2030	3036	6163080	0	0
283	184	1550	437	677350	0	0
1502	880	341	22	7502	0	0
293	840	1109	408	452472	0	1
288	1260	1578	259	408702	1	1
686	1559	1187	196	232652	1	1
270	913	324	15	4860	0	0
696	2831	950	107	101650	0	0
364	201	1519	79	120001	0	0
0	0	2181	1730	3773130	1	0
306	1760	1396	708	988368	1	1
0	2576	1515	171	259065	1	0
0	2932	2181	78	170118	0	0
553	282	1212	88	106656	0	0
553	374	1212	81	98172	0	0
683	670	599	76	45524	0	0
84	82	1778	792	1408176	0	0
646	938	673	109	73357	1	1
179	1219	1426	381	543306	1	1
712	1352	1152	762	877824	1	0
75	2516	1447	128	185216	0	0
612	225	1146	109	124914	0	0
756	379	585	65	38025	0	0
329	992	784	100	78400	0	0
333	1275	808	80	64640	1	1
326	1407	530	76	40280	0	0
333	1418	989	567	560763	1	1
325	1841	1159	184	213256	0	0
76	48	1972	2554	5036488	1	0
739	2678	889	103	91567	0	0
243	179	1132	123	139236	0	0
1130	320	512	2	1024	0	0
446	353	1194	124	148056	1	0
30	1789	1439	378	543942	1	1
2	2106	202	67	13534	0	0
198	2151	22	30	660	0	0
0	2170	166	59	9794	0	0
0	2240	49	16	784	0	0
